hour,G1,G1_heat,G2,G2_heat,G3,G3_heat,G4,G4_heat,G5,G5_heat,G6,G6_heat,G7,G8,a,b,a_charge,b_charge,a_discharge,b_discharge,Wind_Power
0,166.66666666666663,222.22222222222217,291.66666666666663,388.88888888888886,291.66666666666663,388.88888888888886,250.0,333.3333333333333,250.0,333.3333333333333,250.0,333.3333333333333,80.0,295.0000000000001,336.219145483636,349.07670451103166,100.0,100.0,0.0,0.0,255.0
1,166.66666666666669,222.22222222222217,291.66666666666663,388.88888888888886,291.66666666666663,388.88888888888886,250.0,333.3333333333333,250.0,333.3333333333333,250.0,333.3333333333333,130.0,345.00000000000006,436.219145483636,449.07670451103166,100.0,100.0,0.0,0.0,233.0
2,116.66666666666669,155.55555555555557,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,225.0,300.0,225.0,300.0,225.0,300.0,80.0,215.00000000000006,536.219145483636,549.0767045110317,0.0,0.0,28.873587829754,0.0,672.6551908723154
3,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,206.64708796242357,275.52945061656476,206.64708796242357,275.52945061656476,206.64708796242357,275.52945061656476,80.0,200.0,507.345557653882,549.0767045110317,0.0,0.0,51.09581005197629,73.4116481503059,717.3805936517115
4,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,206.64708796242357,275.52945061656476,206.64708796242357,275.52945061656476,206.64708796242357,275.52945061656476,80.0,200.0,456.2497476019057,475.66505636072577,0.0,0.0,51.09581005197629,73.4116481503059,575.3805936517115
5,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,225.0,300.0,225.0,300.0,225.0,300.0,80.0,200.0,405.1539375499293,402.2534082104199,0.0,0.0,51.09581005197629,0.0,548.3218575389822
6,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,206.64708796242357,275.52945061656476,206.64708796242357,275.52945061656476,206.64708796242357,275.52945061656476,80.0,200.0,354.05812749795314,402.2534082104199,0.0,0.0,51.09581005197629,73.4116481503059,725.3805936517115
7,116.66666666666669,155.55555555555557,276.7473822382899,368.9965096510532,276.7473822382899,368.9965096510532,214.61285628558448,286.150475047446,214.61285628558448,286.150475047446,214.61285628558448,286.150475047446,80.0,208.99999999999994,302.9623174459766,328.84176006011404,0.0,0.0,6.451425142338053,41.54857485766303,797.0000000000002
8,166.66666666666669,222.22222222222217,291.6666666666667,388.88888888888886,291.6666666666667,388.88888888888886,250.0,333.3333333333333,250.0,333.3333333333333,250.0,333.3333333333333,130.0,338.99999999999994,296.510892303637,287.293185202451,100.0,100.0,0.0,0.0,381.00000000000006
9,166.66666666666663,222.22222222222217,291.66666666666663,388.88888888888886,291.66666666666663,388.88888888888886,250.0,333.3333333333333,250.0,333.3333333333333,250.0,333.3333333333333,80.0,221.0000000000001,396.510892303637,387.293185202451,100.0,100.0,0.0,0.0,381.0
10,164.57289395336082,219.43052527114776,291.6666666666667,388.88888888888886,291.6666666666667,388.88888888888886,250.0,333.3333333333333,250.0,333.3333333333333,250.0,333.3333333333333,80.0,265.09377271330584,496.510892303637,487.293185202451,97.20830304892559,100.0,0.0,0.0,255.0
11,114.57289395336082,152.7638586044811,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,225.0,300.0,225.0,300.0,225.0,300.0,80.0,200.0,593.7191953525626,587.293185202451,0.0,0.0,31.665284780828415,0.0,431.74896358562137
12,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,206.64708796242337,275.5294506165645,206.64708796242337,275.5294506165645,206.64708796242337,275.5294506165645,80.0,200.0,562.0539105717341,587.293185202451,0.0,0.0,51.09581005197629,73.41164815030662,378.38059365171205
13,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,225.0,300.0,225.0,300.0,225.0,300.0,80.0,200.0,510.95810051975786,513.8815370521444,0.0,0.0,51.09581005197629,0.0,268.32185753898216
14,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,206.64708796242337,275.5294506165645,206.64708796242337,275.5294506165645,206.64708796242337,275.5294506165645,80.0,200.0,459.86229046778135,513.8815370521444,0.0,0.0,51.09581005197629,73.41164815030662,263.38059365171205
15,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,206.64708796242337,275.5294506165645,206.64708796242337,275.5294506165645,206.64708796242337,275.5294506165645,80.0,200.0,408.76648041580506,440.4698889018377,0.0,0.0,51.09581005197629,73.41164815030662,245.38059365171205
16,100.0,133.33333333333334,268.33907123051017,357.78542830734693,268.33907123051017,357.78542830734693,225.0,300.0,225.0,300.0,225.0,300.0,80.0,200.0,357.67067036382855,367.05824075153106,0.0,0.0,51.09581005197283,0.0,110.32185753897966
17,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,206.64708796242337,275.5294506165645,206.64708796242337,275.5294506165645,206.64708796242337,275.5294506165645,80.0,200.0,306.57486031185545,367.05824075153106,0.0,0.0,51.09581005197629,73.41164815030662,159.38059365171205
18,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,206.64708796242383,275.5294506165651,206.64708796242383,275.5294506165651,206.64708796242383,275.5294506165651,80.0,200.0,255.47905025987893,293.6465926012244,0.0,0.0,51.09581005197629,73.4116481503046,157.38059365171068
19,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,206.64708796242337,275.5294506165645,206.64708796242337,275.5294506165645,206.64708796242337,275.5294506165645,80.0,200.0,204.38324020790265,220.23494445091984,0.0,0.0,51.09581005197629,73.41164815030662,179.38059365171205
20,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,206.64708796242337,275.5294506165645,206.64708796242337,275.5294506165645,206.64708796242337,275.5294506165645,80.0,200.0,153.28743015592886,146.82329630061324,0.0,0.0,51.09581005197629,73.41164815030662,233.38059365171205
21,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,206.64708796242337,275.5294506165645,206.64708796242337,275.5294506165645,206.64708796242337,275.5294506165645,80.0,200.0,102.19162010395257,73.41164815030662,0.0,0.0,51.09581005197629,73.41164815030662,255.38059365171205
22,100.0,133.33333333333334,268.3390712305089,357.7854283073452,268.3390712305089,357.7854283073452,225.0,300.0,225.0,300.0,225.0,300.0,80.0,200.0,51.09581005197629,0.0,0.0,0.0,51.09581005197629,0.0,272.32185753898216
23,100.0,133.33333333333334,287.5,383.33333333333337,287.5,383.33333333333337,225.0,300.0,225.0,300.0,225.0,300.0,80.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0
